timestamp,url,malicious,suspicious,total_engines,is_phishing,risk_level,country,domain_age,has_ssl
2025-08-09T09:13:14.683282,http://appleid.verify.account.com,0,0,65,False,,US,730 días,True
2025-08-09T09:13:21.753830,http://appleid.verify.account.com,0,0,65,False,,US,730 días,True
2025-08-09T09:13:35.794588,https://www.google.com/search?q=que+necesito+para+sacar+mi+licencia+en+san+luis+potosi+mexico+si+soy+extranjera&oq=que+necesito+para+sacar+mi+licencia+en+san+luis+potosi+mexico+si+soy+extranjera&gs_lcrp=EgZjaHJvbWUyBggAEEUYOTIHCAEQIRiPAjIHCAIQIRiPAjIHCAMQIRiPAtIBCTE1MzYxajBqN6gCALACAA&sourceid=chrome&ie=UTF-8,0,0,65,False,,US,730 días,True
2025-08-09T09:13:40.608659,http://faceb00k-login.verify-security.com,0,0,65,False,,US,730 días,True
2025-08-09T09:15:00.318723,http://appleid.verify.account.com,0,0,65,False,,US,730 días,True
2025-08-09T09:15:04.852880,http://faceb00k-login.verify-security.com,0,0,65,False,,US,730 días,True
2025-08-09T09:38:29.810727,http://faceb00k-login.verify-security.com,0,0,65,True,Bajo,US,730 días,True
2025-08-09T09:38:36.534443,http://appleid.verify.account.com,0,0,65,True,Bajo,US,730 días,True
2025-08-09T09:38:44.470147,http://appleid.verify.account.com,0,0,65,True,Bajo,US,730 días,True
2025-08-09T09:38:48.636958,http://faceb00k-login.verify-security.com,0,0,65,True,Bajo,US,730 días,True
2025-08-09T09:38:53.053634,http://secure-paypal.com,5,2,72,True,Bajo,US,730 días,True
2025-08-09T09:49:38.127699,http://faceb00k-login.verify-security.com,0,0,65,True,Bajo,US,730 días,True
2025-08-09T09:49:44.210699,http://appleid.verify.account.com,0,0,65,True,Bajo,US,730 días,True
2025-08-09T09:49:59.313140,http://bankofamerica.security-alert.xyz,0,0,65,True,Bajo,US,730 días,True
2025-08-09T09:52:24.217963,http://secure-paypal.com,5,2,72,True,Bajo,US,730 días,True
2025-08-09T09:52:32.286185,http://faceb00k-login.verify-security.com,0,0,65,True,Bajo,US,730 días,True
2025-08-09T09:52:37.071421,http://secure-paypal.com,5,2,72,True,Bajo,US,730 días,True
